Lag,Hour,Test,Validation,val_y_shape,,test_y_shape,,val_y_shape,
70,3,0.975,0.973,(75719, 24),(75719, 1),(180, 1)
76,3,0.975,0.973,(75716, 24),(75716, 1),(180, 1)
78,3,0.975,0.973,(75715, 24),(75715, 1),(180, 1)
79,3,0.975,0.973,(75715, 24),(75715, 1),(180, 1)
81,3,0.975,0.973,(75714, 24),(75714, 1),(180, 1)
85,3,0.975,0.973,(75712, 24),(75712, 1),(180, 1)
86,3,0.975,0.973,(75711, 24),(75711, 1),(180, 1)
91,3,0.974,0.973,(75709, 24),(75709, 1),(180, 1)
92,3,0.975,0.973,(75708, 24),(75708, 1),(180, 1)
93,3,0.975,0.973,(75708, 24),(75708, 1),(180, 1)
96,3,0.974,0.973,(75706, 24),(75706, 1),(180, 1)
99,3,0.975,0.973,(75705, 24),(75705, 1),(180, 1)
100,3,0.975,0.973,(75704, 24),(75704, 1),(180, 1)
101,3,0.974,0.973,(75704, 24),(75704, 1),(180, 1)
103,3,0.975,0.973,(75703, 24),(75703, 1),(180, 1)
107,3,0.975,0.973,(75701, 24),(75701, 1),(180, 1)
109,3,0.974,0.973,(75700, 24),(75700, 1),(180, 1)
15,3,0.975,0.972,(75747, 24),(75747, 1),(180, 1)
30,3,0.974,0.972,(75739, 24),(75739, 1),(180, 1)
35,3,0.974,0.972,(75737, 24),(75737, 1),(180, 1)
